"","day","temp","crime_data_count"
"233",1,68.4,0.58289817232376
"234",2,66.8,0.601174934725849
"235",3,69.3,0.580939947780679
"236",4,76.3,0.672976501305483
"237",5,79.6,0.673629242819843
"238",6,80.9,0.704960835509138
"239",7,74.4,0.590731070496084
"240",1,74.8,0.588772845953003
"241",2,74.5,0.622062663185379
"242",3,74.3,0.623368146214099
"243",4,76.5,0.606396866840731
"244",5,81.7,0.662532637075718
"245",6,74.1,0.77088772845953
"246",7,75.2,0.58420365535248
"247",1,78,0.580939947780679
"248",2,78.9,0.596605744125326
"249",3,73.1,0.56201044386423
"250",4,77.7,0.664490861618799
"251",5,72,0.626631853785901
"252",6,62.7,0.642950391644909
"253",7,62.5,0.593994778067885
"254",1,63.7,0.575065274151436
"255",2,68,0.595953002610966
"256",3,73.5,0.610966057441253
"257",4,66.9,0.566579634464752
"258",5,61.2,0.650783289817232
"259",6,65.4,0.661227154046997
"260",7,65.2,0.585509138381201
"261",1,65.8,0.588120104438642
"262",2,56.7,0.54242819843342
"263",3,56.1,0.596605744125326
"264",4,64.1,0.600522193211488
"265",5,54.9,0.651436031331593
"266",6,51.6,0.568537859007833
"267",7,50.8,0.539817232375979
"268",1,52.6,0.567232375979112
"269",2,63.6,0.601827676240209
"270",3,62.6,0.609660574412533
"271",4,56,0.547650130548303
"272",5,58.3,0.641644908616188
"273",6,60.2,0.633159268929504
"274",7,58.5,0.567232375979112
"275",1,56.5,0.68798955613577
"276",2,60.4,0.591383812010444
"277",3,61.5,0.599869451697128
"278",4,63.1,0.574412532637076
"279",5,48.3,0.597258485639687
"280",6,42.7,0.526762402088773
"281",7,44.5,0.501305483028721
"282",1,44,0.588120104438642
"283",2,53.8,0.5822454308094
"284",3,45.2,0.627937336814621
"285",4,49.1,0.565274151436031
"286",5,47.4,0.629242819843342
"287",6,50.7,0.571148825065274
"288",7,64.4,0.561357702349869
"289",1,50.7,0.612924281984334
"290",2,51.6,0.570496083550914
"291",3,63.4,0.62402088772846
"292",4,51.6,0.586161879895561
"293",5,46.6,0.614882506527415
"294",6,48,0.627284595300261
"295",7,49.9,0.60509138381201
"296",1,57.6,0.547650130548303
"297",2,62.6,0.58289817232376
"298",3,67.4,0.665143603133159
"299",4,69.9,0.555483028720627
"300",5,44.7,0.628590078328982
"301",6,41.4,0.56201044386423
"302",7,42.6,0.539817232375979
"303",1,42.5,0.543733681462141
"304",2,42.4,0.569843342036554
"305",3,41.3,0.620757180156658
"306",4,43.2,0.701697127937337
"307",5,42.1,0.608355091383812
"308",6,41.7,0.523498694516971
"309",7,39.8,0.477154046997389
"310",1,39.2,0.581592689295039
"311",2,36.6,0.513054830287206
"312",3,42.2,0.571148825065274
"313",4,43.6,0.556788511749347
"314",5,41.8,0.653394255874674
"315",6,55.1,0.637728459530026
"316",7,62.7,0.577023498694517
"317",1,37.9,0.518929503916449
"318",2,31.5,0.539164490861619
"319",3,35.4,0.552872062663185
"320",4,37.3,0.618146214099217
"321",5,39.3,0.614229765013055
"322",6,40.7,0.570496083550914
"323",7,42.1,0.554177545691906
"324",1,46.3,0.565926892950392
"325",2,51.4,0.60378590078329
"326",3,43.7,0.5822454308094
"327",4,52.4,0.430809399477807
"328",5,39.3,0.513707571801567
"329",6,28.3,0.546997389033943
"330",7,33.6,0.530678851174935
"331",1,32.7,0.52154046997389
"332",2,26.3,0.528067885117493
"333",3,33.4,0.560052219321149
"334",4,38.9,0.597911227154047
"335",5,44.7,0.64686684073107
"336",6,42.8,0.690600522193211
"337",7,57.7,0.549608355091384
"338",1,55.2,0.609007832898172
"339",2,56.6,0.598563968668407
"340",3,37.2,0.56201044386423
"341",4,36.7,0.571801566579634
"342",5,43.4,0.586814621409922
"343",6,39.7,0.507832898172324
"344",7,38.6,0.496736292428198
"345",1,35,0.556788511749347
"346",2,30.5,0.539164490861619
"347",3,34.2,0.596605744125326
"348",4,39.1,0.528067885117493
"349",5,39,0.622715404699739
"350",6,42.7,0.560052219321149
"351",7,46,0.515013054830287
"352",1,38.4,0.5411227154047
"353",2,33.7,0.555483028720627
"354",3,36.3,0.572454308093995
"355",4,43,0.540469973890339
"356",5,29.9,0.507832898172324
"357",6,22.7,0.477806788511749
"358",7,26.2,0.498041775456919
"359",1,32.3,0.462793733681462
"360",2,28,0.340731070496084
"361",3,31.4,0.405352480417755
"362",4,29.7,0.446475195822454
"363",5,30.6,0.558093994778068
"364",6,29.4,0.526109660574413
"365",7,22.3,0.461488250652742
"366",1,32.2,0.483028720626632
"367",2,19.6,1
"368",3,17.1,0.527797325826882
"369",4,25.8,0.546094299788881
"370",5,22.5,0.609429978888107
"371",6,29.1,0.554539057002111
"372",7,31.6,0.491203377902885
"373",1,26.5,0.575650950035187
"374",2,32.3,0.531315974665728
"375",3,40,0.622097114707952
"376",4,34.3,0.596762843068262
"377",5,45.9,0.636875439831105
"378",6,47.6,0.536945812807882
"379",7,27.8,0.498944405348346
"380",1,17,0.524278676988037
"381",2,21.7,0.591836734693878
"382",3,25.1,0.584799437016186
"383",4,29.2,0.597466572836031
"384",5,27.2,0.652357494722027
"385",6,39.9,0.622800844475721
"386",7,25.2,0.484166080225194
"387",1,12.4,0.467980295566502
"388",2,5.1,0.487684729064039
"389",3,13.2,0.560872624912034
"390",4,13.7,0.607318789584799
"391",5,21.2,0.579873328641802
"392",6,20.9,0.560872624912034
"393",7,26.6,0.4954257565095
"394",1,41.3,0.638282899366643
"395",2,51.8,0.637579169598874
"396",3,41.1,0.602392681210415
"397",4,19.1,0.52990851513019
"398",5,6.8,0.625615763546798
"399",6,16.2,0.519352568613652
"400",7,13.7,0.416608022519353
"401",1,23,0.512315270935961
"402",2,20.2,0.55524278676988
"403",3,26.3,0.58128078817734
"404",4,33.3,0.52990851513019
"405",5,28.3,0.574243490499648
"406",6,27,0.56368754398311
"407",7,33.9,0.536242083040113
"408",1,38,0.534834623504574
"409",2,27.6,0.552427867698804
"410",3,29,0.605207600281492
"411",4,37,0.527797325826882
"412",5,30,0.656579873328642
"413",6,19,0.486277269528501
"414",7,16.9,0.48698099929627
"415",1,35.9,0.532019704433498
"416",2,24.3,0.527797325826882
"417",3,14.6,0.540464461646728
"418",4,23.1,0.540464461646728
"419",5,27.8,0.536945812807882
"420",6,26.7,0.490499648135116
"421",7,25.9,0.475721323011963
"422",1,31.2,0.532723434201267
"423",2,34.2,0.475017593244194
"424",3,33.5,0.58128078817734
"425",4,33.5,0.568613652357495
"426",5,27.6,0.707952146375792
"427",6,26.4,0.539057002111189
"428",7,23.2,0.5045742434905
"429",1,25.9,0.57283603096411
"430",2,32.1,0.489795918367347
"431",3,30.6,0.509500351864884
"432",4,32.6,0.584799437016186
"433",5,31.9,0.619282195636875
"434",6,34.9,0.58972554539057
"435",7,42.7,0.488388458831809
"436",1,42.5,0.579873328641802
"437",2,32.5,0.591836734693878
"438",3,27.9,0.579873328641802
"439",4,28.9,0.592540464461647
"440",5,34.6,0.617874736101337
"441",6,33,0.581984517945109
"442",7,30.3,0.543983110485574
"443",1,31.6,0.558761435608726
"444",2,24.1,0.542575650950035
"445",3,21.6,0.55524278676988
"446",4,21.9,0.534130893736805
"447",5,28.3,0.608022519352569
"448",6,32.4,0.551020408163265
"449",7,33.8,0.55524278676988
"450",1,33.8,0.533427163969036
"451",2,35.2,0.545390570021112
"452",3,37.2,0.545390570021112
"453",4,38.1,0.586206896551724
"454",5,43.2,0.61505981703026
"455",6,42.5,0.611541168191414
"456",7,49.3,0.539760731878958
"457",1,36.2,0.670654468684025
"458",2,34,0.590429275158339
"459",3,35.1,0.581984517945109
"460",4,39.1,0.657283603096411
"461",5,43.8,0.633356790992259
"462",6,46.9,0.567909922589726
"463",7,53,0.560872624912034
"464",1,50.3,0.630541871921182
"465",2,43.9,0.580577058409571
"466",3,39.9,0.599577762139338
"467",4,41.3,0.572132301196341
"468",5,41,0.648838845883181
"469",6,38.7,0.592540464461647
"470",7,45.4,0.582688247712878
"471",1,60.6,0.593244194229416
"472",2,47.2,0.60661505981703
"473",3,43.4,0.505981703026038
"474",4,52.2,0.560872624912034
"475",5,40.9,0.596059113300493
"476",6,37.1,0.565798733286418
"477",7,40.5,0.543983110485574
"478",1,51.5,0.643912737508797
"479",2,53.2,0.537649542575651
"480",3,41.3,0.638282899366643
"481",4,45,0.616467276565799
"482",5,49.2,0.676988036593948
"483",6,57.2,0.611541168191414
"484",7,57.8,0.558761435608726
"485",1,60.1,0.636171710063336
"486",2,69.6,0.605911330049261
"487",3,74.4,0.823363828289937
"488",4,54.4,0.581984517945109
"489",5,43.6,0.635467980295567
"490",6,55.4,0.642505277973258
"491",7,58.1,0.581984517945109
"492",1,59.8,0.617874736101337
"493",2,61,0.639690358902182
"494",3,65.1,0.679099225897255
"495",4,64.1,0.589021815622801
"496",5,47.4,0.643912737508797
"497",6,49.7,0.586206896551724
"498",7,46.3,0.586206896551724
"499",1,48,0.629838142153413
"500",2,65.5,0.637579169598874
"501",3,76,0.729767769176636
"502",4,69.6,0.684729064039409
"503",5,60.7,0.695988740323716
"504",6,65.8,0.665728360309641
"505",7,71.6,0.5981703026038
"506",1,79.5,0.676284306826179
"507",2,72.8,0.655172413793103
"508",3,68.7,0.640394088669951
"509",4,53.6,0.591133004926108
"510",5,47.8,0.65798733286418
"511",6,49.9,0.58972554539057
"512",7,54.5,0.547501759324419
"513",1,57.4,0.542575650950035
"514",2,64.8,0.596762843068262
"515",3,71.1,0.636171710063336
"516",4,76.5,0.665728360309641
"517",5,70.5,0.656579873328642
"518",6,70.3,0.762843068261787
"519",7,57.5,0.585503166783955
"520",1,53.6,0.643209007741027
"521",2,60.2,0.603800140745954
"522",3,61.6,0.636171710063336
"523",4,57.7,0.67558057705841
"524",5,57.9,0.617874736101337
"525",6,62.3,0.64954257565095
"526",7,66.6,0.584799437016186
"527",1,70.7,0.624912033779029
"528",2,70.4,0.602392681210415
"529",3,75,0.584095707248417
"530",4,66.9,0.644616467276566
"531",5,64.1,0.710063335679099
